anno;rilevatore;mese;giorno_settimana;fascia_oraria;comune;nome_strada;tipo_luogo;indirizzo;lon;lat;kmt_etm;fondo;segnaletica;meteo;natura;des_circ_a;des_circ_b;veicolo_a;avaria_a;des_psico_a;veicolo_b;avaria_b;des_psico_b;veicolo_c;veicoli_oltre_a_b_c;pedoni_morti_feriti;tot_morti;tot_feriti
2017;Polizia Municipale;11;Mercoledì;Mattino;SCHIO;SP 349 var Costo Variante;Rotatoria;VIA INDUSTRIA INCROCIO VIA GARZIERE;11.4208721;45.7249649;0;Bagnato;Assente;Sereno;Tamponamento;Procedeva con guida distratta o andamento indeciso;;Autocarro;;;Autovettura privata;;;;0;0;0;1
2017;Polizia Municipale;2;Sabato;Pomeriggio;SCHIO;SP 349 var Costo Variante;Rotatoria;VIA INDUSTRIA INCROCIO NSA 384;11.4217635;45.7246123;0;Bagnato;Assente;Sereno;Scontro frontale-laterale;Svoltava a destra irregolarmente;;Autovettura privata;;;Velocipede;;;;0;0;0;1
2017;Polizia Municipale;3;Giovedì;Sera;MALO;SP 046 Pasubio;Rettilineo;VIA L. DA VINCI, 0;11.4228941;45.6488950;15.56;Asciutto;Assente;Sereno;Investimento di pedoni;Procedeva con eccesso di velocità (art.141);Attraversava ad un passaggio pedonale non protetto da semaforo o agente;Autovettura privata;;;;;;;0;1;1;0
2017;Polizia Municipale;12;Giovedì;Pomeriggio;MALO;SP 046 Pasubio;Intersezione segnalata;VIA VICENZA INTERSEZIONE CO NVIA VERGAN;11.4234745;45.6482334;15.5;Asciutto;Assente;Sereno;Urto con veicolo in fermata o arresto;Procedeva senza mantenere la distanza di sicurezza (art.149);Veicolo fermo in posizione regolare;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2017;Polizia Municipale;10;Mercoledì;Sera;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Rettilineo;VIA MONTE PASUBIO, 54;11.4241039;45.7469868;0;Asciutto;Assente;Sereno;Tamponamento;Procedeva con eccesso di velocità (art.141);;Autovettura privata;;;Autovettura privata;;;;0;0;0;2
2017;Carabiniere;2;Giovedì;Notte;MALO;SP 046 Pasubio;Rettilineo;SP46 KM 15,300;11.4243473;45.6473012;15.3;Asciutto;Assente;Sereno;Investimento di pedoni;Procedeva regolarmente;Camminava in mezzo alla carreggiata;Autovettura privata;;;;;Anormale per ebbrezza da alcool (art. 186);;0;1;0;1
2017;Carabiniere;12;Domenica;Notte;MALO;SP 046 Pasubio;Rettilineo;VIA VICENZA, 24;11.4251100;45.6463200;0;Bagnato;Assente;Sereno;Scontro frontale-laterale;Procedeva senza rispettare i limiti di velocità (art.142);;Autovettura privata;;Anormale per ebbrezza da alcool (art. 186);Autovettura privata;;;;0;0;0;3
2017;Carabiniere;11;Domenica;Mattino;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Curva;VIA ALESSANDRO ROSSI AL KM. 54.2;11.4256213;45.7697192;54.2;Bagnato;Verticale;Nebbia;Scontro frontale;Procedeva contromano (art.143);;Autovettura privata;;Anormale per ingestione di sostanze stupefacenti o psicotrope (art. 187);Autovettura privata;;;;0;0;0;5
2017;Polizia Municipale;11;Venerdì;Mattino;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Incrocio;VIA MONTE PASUBIO INCROCIO VIA GARZIERE;11.4273257;45.7498311;0;Asciutto;Assente;Sereno;Scontro frontale;Procedeva regolarmente senza svoltare;;Autovettura privata;;;Autovettura privata;;;;0;0;0;3
2017;Polizia Municipale;2;Lunedì;Sera;PIOVENE ROCCHETTE;SP 349 Costo;Rotatoria;VIA GORIZIA INCROCIO VIA THIENE;11.4294111;45.7513293;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva con guida distratta o andamento indeciso;;Autovettura privata;;;Velocipede;;;;0;0;0;1
